id,name,psmiles,source,description,Tg,Tm,elastic_modulus,molecular_weight
polyethylenepermeability,Polyethylenepermeability,CC,pdf_datasheet,Polymer extracted from datasheet: polyethylenePermeability,,,11.0,
polyolefinspolyketones,Polyolefinspolyketones,CC,pdf_datasheet,Polymer extracted from datasheet: polyolefinspolyketones,,,25052.0,
polyethylenemelting,Polyethylenemelting,CC,pdf_datasheet,Polymer extracted from datasheet: polyethyleneMelting,,,1.0,
polyelectrolytes,Polyelectrolytes,CC,pdf_datasheet,Polymer extracted from datasheet: polyelectrolytes,,,1.0,3000.0
polymerconcentrations,Polymerconcentrations,CC,pdf_datasheet,Polymer extracted from datasheet: polymerconcentrations,,,1.0,
polymereventually,Polymereventually,CC,pdf_datasheet,Polymer extracted from datasheet: polymereventually,,,,40000.0
polymercontracts,Polymercontracts,CC,pdf_datasheet,Polymer extracted from datasheet: polymercontracts,,,,40000.0
polymerspermeability,Polymerspermeability,CC,pdf_datasheet,Polymer extracted from datasheet: polymersPermeability,,,1.0,
polymerscomplex,Polymerscomplex,CC,pdf_datasheet,Polymer extracted from datasheet: polymerscomplex,,,1.0,
polyoxyacetyl,Polyoxyacetyl,CC,pdf_datasheet,Polymer extracted from datasheet: Polyoxyacetyl,,,2.0,
polyglycolide,Polyglycolide,CC,pdf_datasheet,Polymer extracted from datasheet: Polyglycolide,,,2.0,20000.0
polyglycollide,Polyglycollide,CC,pdf_datasheet,Polymer extracted from datasheet: Polyglycollide,,,2.0,
polyhexafluoropropylene,Polyhexafluoropropylene,CC,pdf_datasheet,Polymer extracted from datasheet: Polyhexafluoropropylene,,,25120.0,
polyperfluoropropy,Polyperfluoropropy,CC,pdf_datasheet,Polymer extracted from datasheet: Polyperfluoropropy,,,25120.0,
polyhexafluoropropene,Polyhexafluoropropene,CC,pdf_datasheet,Polymer extracted from datasheet: Polyhexafluoropropene,,,1.0,
polymermorphology,Polymermorphology,CC,pdf_datasheet,Polymer extracted from datasheet: polymerMorphology,,,15.0,
polymerisationat,Polymerisationat,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisationat,,,15.0,
polyconden,Polyconden,CC,pdf_datasheet,Polymer extracted from datasheet: polyconden,,,1.0,
polymerase,Polymerase,CC,pdf_datasheet,Polymer extracted from datasheet: polymerase,,,1.0,
polyhydrox,Polyhydrox,CC,pdf_datasheet,Polymer extracted from datasheet: polyhydrox,,,1.0,
polyisoprenes,Polyisoprenes,CC,pdf_datasheet,Polymer extracted from datasheet: polyisoprenes,,,2.4,137000.0
polyisopropylbutadiene,Polyisopropylbutadiene,CC,pdf_datasheet,Polymer extracted from datasheet: Polyisopropylbutadiene,,,1.0,
polymer25620,Polymer25620,CC,pdf_datasheet,Polymer extracted from datasheet: polymer25620,,,25585.0,
polybu,Polybu,CC,pdf_datasheet,Polymer extracted from datasheet: Polybu,,,25053.0,
polyorganosiloxanes,Polyorganosiloxanes,CC,pdf_datasheet,Polymer extracted from datasheet: Polyorganosiloxanes,,,1.0,
